election,geography_id,geography_type,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,contributing_rows,contributing_kalpis,eligible_voters,actual_voters,valid_votes,invalid_votes,winning_ballot_letter,winning_votes,runner_up_votes,margin_votes,winning_vote_share,אמת,ג,ודעם,ז,זכ,זן,זץ,טב,י,יז,ינ,יף,יק,כ,כי,כף,ל,מחל,מרצ,נ,נך,נץ,פה,ףז,צ,צן,ץ,ק,קך,קץ,רק,שס
K22,stat2011:8310001,statistical_area,stat2011:8310001,2011,8310001,1,loc:831,831,ירוחם,12,12,7328,4854,4798,56,מחל,2001,620,1381,0.417049,220,333,77,1,1,0,2,540,3,8,0,1,0,0,0,93,331,2001,45,4,0,0,506,1,2,1,0,4,2,0,2,620
K22,stat2011:8330001,statistical_area,stat2011:8330001,2011,8330001,1,loc:833,833,נורית,1,1,106,87,87,0,פה,31,27,4,0.356322,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,5,27,8,0,0,0,31,0,0,0,0,0,0,0,0,1
K22,stat2011:8360001,statistical_area,stat2011:8360001,2011,8360001,1,loc:836,836,גנות,1,1,342,267,267,0,פה,123,65,58,0.460674,20,4,0,0,1,0,8,9,0,1,0,0,0,0,0,3,10,65,17,0,0,0,123,0,0,0,0,0,0,0,0,6
K22,stat2011:8370001,statistical_area,stat2011:8370001,2011,8370001,1,loc:837,837,עזריאל,1,1,597,486,484,2,מחל,271,64,207,0.559917,10,10,0,0,0,0,17,64,0,0,0,0,0,0,0,23,5,271,1,0,0,0,46,0,0,0,0,0,0,0,0,37
K22,stat2011:8380001,statistical_area,stat2011:8380001,2011,8380001,1,loc:838,838,פדיה,1,1,589,469,467,2,מחל,239,76,163,0.511777,17,0,0,0,0,0,66,16,0,0,0,0,0,0,0,8,7,239,10,0,0,0,76,0,0,0,0,0,0,1,0,27
K22,stat2011:8390001,statistical_area,stat2011:8390001,2011,8390001,1,loc:839,839,פתחיה,1,1,612,480,478,2,מחל,177,104,73,0.370293,20,2,0,1,0,0,104,11,0,1,0,0,0,0,0,10,7,177,8,2,0,0,102,0,0,1,0,0,0,0,0,32
K22,stat2011:8400001,statistical_area,stat2011:8400001,2011,8400001,1,loc:840,840,כיסופים,1,1,289,147,146,1,אמת,61,47,14,0.417808,61,0,1,0,0,0,1,3,0,1,0,0,0,0,0,2,5,10,14,0,0,0,47,0,0,0,0,0,0,0,0,1
K22,stat2011:840001,statistical_area,stat2011:840001,2011,840001,1,loc:84,84,תל יוסף,1,1,372,275,272,3,פה,155,55,100,0.569853,55,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,6,9,35,0,0,0,155,0,0,0,0,0,0,0,0,2
K22,stat2011:84000112,statistical_area,stat2011:84000112,2011,84000112,112,loc:8400,8400,רחובות,3,3,1901,1486,1484,2,פה,758,267,491,0.510782,110,8,1,2,0,0,1,50,0,0,0,0,0,0,0,6,124,267,145,0,0,0,758,0,0,0,0,0,0,0,0,12
K22,stat2011:84000113,statistical_area,stat2011:84000113,2011,84000113,113,loc:8400,8400,רחובות,1,1,511,254,252,2,פה,93,90,3,0.369048,23,0,13,0,0,0,1,8,0,0,0,0,0,0,2,0,9,12,90,0,0,0,93,0,0,0,0,0,0,0,0,1
