election,source_result_row_id,source_locality_name,source_kalpi,pdf_source,scanned_address,place,notes
K17,1177,אעבלין,10,part 1 page 65,0,"בי""ס ממלכתי א' - מרכז הכפר",manual visual transcription of K17 scanned polling-place list
K17,1178,אעבלין,20,part 1 page 65,0,מעון פייס לקשיש,manual visual transcription of K17 scanned polling-place list
K17,1179,אעבלין,30,part 1 page 65,0,"בי""ס ממלכתי ג' - שכונה צפונית",manual visual transcription of K17 scanned polling-place list
K17,1180,אעבלין,40,part 1 page 65,0,"בי""ס ממלכתי א' - מרכז הכפר",manual visual transcription of K17 scanned polling-place list
K17,1181,אעבלין,50,part 1 page 65,0,"בי""ס ממלכתי ב' - שכונה דרומית",manual visual transcription of K17 scanned polling-place list
K17,1182,אעבלין,60,part 1 page 65,0,"בי""ס חט""ב - שכונה דרומית",manual visual transcription of K17 scanned polling-place list
K17,1183,אעבלין,70,part 1 page 65,0,מעון פייס לקשיש,manual visual transcription of K17 scanned polling-place list
K17,1184,אעבלין,80,part 1 page 65,0,מעון פייס לקשיש,manual visual transcription of K17 scanned polling-place list
K17,1185,אעבלין,90,part 1 page 65,0,"בי""ס חט""ב - שכונה דרומית",manual visual transcription of K17 scanned polling-place list
K17,1186,אעבלין,100,part 1 page 65,0,מעון פייס לקשיש,manual visual transcription of K17 scanned polling-place list
K17,1761,ביר אל-מכסור,10,part 1 page 66,0,"בי""ס ממלכתי ב'",manual visual transcription of K17 scanned polling-place list
K17,1762,ביר אל-מכסור,20,part 1 page 66,0,"בי""ס ממלכתי ב'",manual visual transcription of K17 scanned polling-place list
K17,1763,ביר אל-מכסור,30,part 1 page 66,0,"בי""ס ממלכתי ב' - חטיבת ביניים",manual visual transcription of K17 scanned polling-place list
K17,1764,ביר אל-מכסור,40,part 1 page 66,0,"בי""ס ממלכתי א'",manual visual transcription of K17 scanned polling-place list
K17,1765,ביר אל-מכסור,50,part 1 page 66,0,"בי""ס ממלכתי א'",manual visual transcription of K17 scanned polling-place list
K17,1766,ביר אל-מכסור,60,part 1 page 66,0,"בי""ס ממלכתי ב' - חטיבת ביניים",manual visual transcription of K17 scanned polling-place list
K17,962,בית ג'ן,10,part 1 page 66,0,חטיבת ביניים - שכונת חיילים משוחררים,manual visual transcription of K17 scanned polling-place list
K17,963,בית ג'ן,20,part 1 page 66,0,"בי""ס תיכון - חיילים משוחררים",manual visual transcription of K17 scanned polling-place list
K17,964,בית ג'ן,30,part 1 page 66,0,בית ספר א' - שכונה מזרחית,manual visual transcription of K17 scanned polling-place list
K17,965,בית ג'ן,40,part 1 page 66,0,בית ספר ב' - שכונה מערבית,manual visual transcription of K17 scanned polling-place list
K17,966,בית ג'ן,50,part 1 page 66,0,בית ספר א' - שכונה מזרחית,manual visual transcription of K17 scanned polling-place list
K17,967,בית ג'ן,60,part 1 page 66,0,בית ספר ב' - שכונה מערבית,manual visual transcription of K17 scanned polling-place list
K17,968,בית ג'ן,70,part 1 page 66,0,בית ספר ג' - שכונה צפונית,manual visual transcription of K17 scanned polling-place list
K17,969,בית ג'ן,80,part 1 page 66,0,בית ספר ג' - שכונה צפונית,manual visual transcription of K17 scanned polling-place list
K17,1338,ג'לג'וליה,10,part 1 page 137,0,"בי""ס יסודי א",manual visual transcription of K17 scanned polling-place list
K17,1339,ג'לג'וליה,20,part 1 page 137,0,"בי""ס יסודי א",manual visual transcription of K17 scanned polling-place list
K17,1340,ג'לג'וליה,30,part 1 page 137,0,"בי""ס אלראזי",manual visual transcription of K17 scanned polling-place list
K17,1341,ג'לג'וליה,40,part 1 page 137,0,"בי""ס יסודי ב - ליד ה",manual visual transcription of K17 scanned polling-place list; source text visibly truncated in fixed-width printout
K17,1342,ג'לג'וליה,50,part 1 page 137,0,"בי""ס יסודי ב - ליד ה",manual visual transcription of K17 scanned polling-place list; source text visibly truncated in fixed-width printout
K17,1239,ג'סר א-זרקא,10,part 1 page 110,0,"בי""ס ממלכתי ג' חדש",manual visual transcription of K17 scanned polling-place list
K17,1240,ג'סר א-זרקא,20,part 1 page 110,0,"בי""ס מקיף חט' ביניים",manual visual transcription of K17 scanned polling-place list
K17,1241,ג'סר א-זרקא,30,part 1 page 110,0,"בי""ס ממלכתי ב' חדש",manual visual transcription of K17 scanned polling-place list
K17,1242,ג'סר א-זרקא,40,part 1 page 110,0,"בי""ס ממלכתי ב' חדש",manual visual transcription of K17 scanned polling-place list
K17,1243,ג'סר א-זרקא,50,part 1 page 110,0,"בי""ס מקיף חט' ביניים",manual visual transcription of K17 scanned polling-place list
K17,1244,ג'סר א-זרקא,60,part 1 page 110,0,"בי""ס ממלכתי ב' חדש",manual visual transcription of K17 scanned polling-place list
K17,1245,ג'סר א-זרקא,70,part 1 page 110,0,"בי""ס ממלכתי ג' חדש",manual visual transcription of K17 scanned polling-place list
K17,1246,ג'סר א-זרקא,80,part 1 page 110,0,"בי""ס ממלכתי ג' חדש",manual visual transcription of K17 scanned polling-place list
K17,1000,דבוריה,10,part 1 page 49,0,"בי""ס ממלכתי יסודי - אלקנדי",manual visual transcription of K17 scanned polling-place list
K17,1001,דבוריה,20,part 1 page 50,0,מ.ע.ש - מרכז עבודה שיקומי,manual visual transcription of K17 scanned polling-place list
K17,1002,דבוריה,30,part 1 page 50,0,"בי""ס אלטור",manual visual transcription of K17 scanned polling-place list
K17,1003,דבוריה,40,part 1 page 50,0,"מתנ""ס - אולם ספורט",manual visual transcription of K17 scanned polling-place list
K17,1004,דבוריה,50,part 1 page 50,0,גן ילדים - בית עזאיזה,manual visual transcription of K17 scanned polling-place list
K17,1005,דבוריה,60,part 1 page 50,0,"בי""ס ממלכתי יסודי - אלקנדי",manual visual transcription of K17 scanned polling-place list
K17,1006,דייר חנא,10,part 1 page 67,0,"בי""ס ממלכתי ב'",manual visual transcription of K17 scanned polling-place list
K17,1007,דייר חנא,20,part 1 page 67,0,תיכון מקיף,manual visual transcription of K17 scanned polling-place list
K17,1008,דייר חנא,30,part 1 page 67,0,"בי""ס ממלכתי א'",manual visual transcription of K17 scanned polling-place list
K17,1009,דייר חנא,40,part 1 page 67,0,"בי""ס ממלכתי א'",manual visual transcription of K17 scanned polling-place list
K17,1010,דייר חנא,50,part 1 page 67,0,תיכון מקיף,manual visual transcription of K17 scanned polling-place list
K17,1011,דייר חנא,60,part 1 page 67,0,"בי""ס ממלכתי ב'",manual visual transcription of K17 scanned polling-place list
K17,1012,דייר חנא,70,part 1 page 67,0,"בי""ס ממלכתי א'",manual visual transcription of K17 scanned polling-place list
