source_code,source_name,source_name_variants,elections,election_count,result_rows,eligible,voters,initial_bucket,candidate_target_codes,candidate_target_names,candidate_stat_counts,resolution_status,reviewed_target_code,reviewed_target_name,reviewed_rule,notes
"","נורדיה","נורדיה","K17","1","2","","1026","name_only_probable_spelling_or_spacing_match","447","נורדייה","1","unreviewed","","","",""
"5427","נווה דקלים","נווה דקלים","K16","1","2","1292","996","code_absent_no_name_candidate","","","","unreviewed","","","",""
"960","אסד )שבט(","אסד (שבט) | אסד )שבט( | אסד שבט","K16 K18 K19 K20 K21 K22 K23 K24 K25","9","9","4073","807","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","אבו רוקייק (שבט)","אבו רוקייק (שבט)","K17","1","5","","801","needs_research","","","","unreviewed","","","",""
"","אעצם (שבט)","אעצם (שבט)","K17","1","4","","782","needs_research","","","","unreviewed","","","",""
"1418","מחנה טלי","מחנה טלי","K18 K19 K20 K21 K22 K23 K24 K25","8","8","1277","761","code_absent_no_name_candidate","","","","unreviewed","","","",""
"1416","מחנה יוכבד","מחנה יוכבד","K18 K19 K20 K21 K22 K23 K24 K25","8","8","940","593","code_absent_no_name_candidate","","","","unreviewed","","","",""
"1413","מחנה יהודית","מחנה יהודית","K20 K21 K22 K23 K24 K25","6","6","761","575","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","אבו קורינאת (שבט)","אבו קורינאת (שבט)","K17","1","3","","554","needs_research","","","","unreviewed","","","",""
"970","תראבין א-צאנע (שבט)","תראבין א-צאנע (שב | תראבין א-צאנע (שבט) | תראבין א-צאנע )שב | תראבין אצאנע שבט","K16 K18 K19 K20 K21 K22 K23 K24 K25","9","9","4975","530","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","חלמיש","חלמיש","K17","1","1","","525","needs_research","","","","unreviewed","","","",""
"1411","מחנה הילה","מחנה הילה","K21 K22 K23 K24 K25","5","5","623","495","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","דליה","דליה","K17","1","1","","494","name_only_probable_spelling_or_spacing_match","300","דלייה","1","unreviewed","","","",""
"1414","מחנה מרים","מחנה מרים","K19 K20 K21 K22 K23 K24 K25","7","7","726","476","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","ריחאניה","ריחאניה","K17","1","1","","469","name_only_probable_spelling_or_spacing_match","540","ריחאנייה","1","unreviewed","","","",""
"","אבו רובייעה (שבט)","אבו רובייעה (שבט)","K17","1","4","","460","needs_research","","","","unreviewed","","","",""
"781","גני יהודה","גני יהודה","K16","1","1","623","453","code_absent_no_name_candidate","","","","unreviewed","","","",""
"2032","נווה אפעל","נווה אפעל","K16","1","1","647","444","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","סייד (שבט)","סייד (שבט)","K17","1","2","","444","needs_research","","","","unreviewed","","","",""
"","שגב","שגב","K17","1","1","","444","needs_research","","","","unreviewed","","","",""
"","סתריה","סתריה","K17","1","1","","427","name_only_probable_spelling_or_spacing_match","610","סתרייה","1","unreviewed","","","",""
"","קודייראת א-צאנע(ש","קודייראת א-צאנע(ש","K17","1","2","","425","needs_research","","","","unreviewed","","","",""
"5426","ניסנית","ניסנית","K16","1","1","529","406","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","פוריה - נווה עובד","פוריה - נווה עובד","K17","1","1","","393","name_only_probable_spelling_or_spacing_match","1105","פורייה - נווה עובד","1","unreviewed","","","",""
"","הוואשלה (שבט)","הוואשלה (שבט)","K17","1","2","","382","needs_research","","","","unreviewed","","","",""
"","עראמשה","עראמשה","K17","1","1","","375","name_only_probable_spelling_or_spacing_match","1246","עראמשה*","1","unreviewed","","","",""
"","נווה אפעל","נווה אפעל","K17","1","1","","358","needs_research","","","","unreviewed","","","",""
"","מעין צבי","מעין צבי","K17","1","1","","350","needs_research","","","","unreviewed","","","",""
"3792","עופרים","עופרים","K16","1","1","467","350","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","כפר אז""ר","כפר אז""ר","K17","1","1","","325","needs_research","","","","unreviewed","","","",""
"180","כפר אז""ר","כפר אז""ר","K16","1","1","395","317","code_absent_no_name_candidate","","","","unreviewed","","","",""
"969","עטאוונה )שבט(","עטאוונה (שבט) | עטאוונה )שבט( | עטאוונה שבט","K16 K18 K19 K20 K21 K22 K23 K24 K25","9","9","1165","313","code_absent_no_name_candidate","","","","unreviewed","","","",""
"883","רמת פנקס","רמת פנקס","K16","1","1","440","312","code_absent_no_name_candidate","","","","unreviewed","","","",""
"958","אבו עבדון )שבט(","אבו עבדון (שבט) | אבו עבדון )שבט( | אבו עבדון שבט","K16 K19 K20 K21 K22 K23 K24 K25","8","8","1069","309","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","מעלה שומרון","מעלה שומרון","K17","1","1","","308","needs_research","","","","unreviewed","","","",""
"","ביריה","ביריה","K17","1","1","","305","name_only_probable_spelling_or_spacing_match","368","בירייה","1","unreviewed","","","",""
"","רמת פנקס","רמת פנקס","K17","1","1","","295","needs_research","","","","unreviewed","","","",""
"","אשדות יעקב (איחו","אשדות יעקב (איחו","K17","1","1","","294","needs_research","","","","unreviewed","","","",""
"","חמד","חמד","K17","1","1","","285","name_only_probable_spelling_or_spacing_match","801","חמ""ד","1","unreviewed","","","",""
"","פוריה עילית","פוריה עילית","K17","1","1","","264","name_only_probable_spelling_or_spacing_match","1313","פורייה עילית","1","unreviewed","","","",""
"","צפריה","צפריה","K17","1","1","","262","name_only_probable_spelling_or_spacing_match","594","צפרייה","1","unreviewed","","","",""
"","הודיה","הודיה","K17","1","1","","260","name_only_probable_spelling_or_spacing_match","726","הודייה","1","unreviewed","","","",""
"1417","מחנה עדי","מחנה עדי","K19 K20","2","2","358","250","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","אשדות יעקב (מאוח","אשדות יעקב (מאוח","K17","1","1","","238","needs_research","","","","unreviewed","","","",""
"","אילניה","אילניה","K17","1","1","","232","name_only_probable_spelling_or_spacing_match","49","אילנייה","1","unreviewed","","","",""
"986","ח'ואלד )שבט(","ח'ואלד (שבט) | ח'ואלד )שבט(","K16 K18 K19 K20","4","4","603","232","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","שושנת העמקים (רסק","שושנת העמקים (רסק","K17","1","1","","227","needs_research","","","","unreviewed","","","",""
"","חברון","חברון","K17","1","1","","225","needs_research","","","","unreviewed","","","",""
"","אטרש (שבט)","אטרש (שבט)","K17","1","2","","213","needs_research","","","","unreviewed","","","",""
"","קרית ענבים","קרית ענבים","K17","1","1","","206","name_only_probable_spelling_or_spacing_match","78","קריית ענבים","1","unreviewed","","","",""
"5428","אלי סיני","אלי סיני","K16","1","1","266","194","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","כרמיה","כרמיה","K17","1","1","","194","name_only_probable_spelling_or_spacing_match","768","כרמייה","1","unreviewed","","","",""
"","מלכיה","מלכיה","K17","1","1","","194","name_only_probable_spelling_or_spacing_match","596","מלכייה","1","unreviewed","","","",""
"","מעין ברוך","מעין ברוך","K17","1","1","","184","needs_research","","","","unreviewed","","","",""
"5425","בני עצמון","בני עצמון","K16","1","1","191","181","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","קרית נטפים","קרית נטפים","K17","1","1","","180","name_only_probable_spelling_or_spacing_match","3746","קריית נטפים","1","unreviewed","","","",""
"","אל-רום","אל-רום","K17","1","1","","158","name_only_probable_spelling_or_spacing_match","4003","אל -רום","1","unreviewed","","","",""
"","ניצנה (קהילת חינו","ניצנה (קהילת חינו","K17","1","1","","153","needs_research","","","","unreviewed","","","",""
"","קבועה (שבט)","קבועה (שבט)","K17","1","1","","148","needs_research","","","","unreviewed","","","",""
"5429","גדיד","גדיד","K16","1","1","180","146","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","קוואעין (שבט)","קוואעין (שבט)","K17","1","1","","137","needs_research","","","","unreviewed","","","",""
"5431","גן אור","גן אור","K16","1","1","157","136","code_absent_no_name_candidate","","","","unreviewed","","","",""
"5423","קטיף","קטיף","K16","1","1","135","123","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","תושיה","תושיה","K17","1","1","","123","name_only_probable_spelling_or_spacing_match","1083","תושייה","1","unreviewed","","","",""
"","פוריה - כפר עבודה","פוריה - כפר עבודה","K17","1","1","","122","name_only_probable_spelling_or_spacing_match","1104","פורייה - כפר עבודה","1","unreviewed","","","",""
"5405","כפר דרום","כפר דרום","K16","1","1","124","119","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","מחנה יפה","מחנה יפה","K17","1","1","","117","needs_research","","","","unreviewed","","","",""
"","מחנה תל נוף","מחנה תל נוף","K17","1","1","","113","needs_research","","","","unreviewed","","","",""
"5408","נצרים","נצרים","K16","1","1","122","112","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","כפר רוזנואלד (זרע","כפר רוזנואלד (זרע","K17","1","1","","110","needs_research","","","","unreviewed","","","",""
"","עוקבי (בנו עוקבה)","עוקבי (בנו עוקבה)","K17","1","1","","110","needs_research","","","","unreviewed","","","",""
"","הוזייל (שבט)","הוזייל (שבט)","K17","1","2","","106","needs_research","","","","unreviewed","","","",""
"","אבו ג'ווייעד (שבט","אבו ג'ווייעד (שבט","K17","1","2","","103","needs_research","","","","unreviewed","","","",""
"","אסד (שבט)","אסד (שבט)","K17","1","1","","102","needs_research","","","","unreviewed","","","",""
"5432","בדולח","בדולח","K16","1","1","113","90","code_absent_no_name_candidate","","","","unreviewed","","","",""
"3642","חומש","חומש","K16","1","1","141","79","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","מחנה טלי","מחנה טלי","K17","1","1","","75","needs_research","","","","unreviewed","","","",""
"","תראבין א-צאנע (שב","תראבין א-צאנע (שב","K17","1","1","","74","needs_research","","","","unreviewed","","","",""
"","עטאוונה (שבט)","עטאוונה (שבט)","K17","1","1","","72","needs_research","","","","unreviewed","","","",""
"989","סואעד )כמאנה( )שב","סואעד )כמאנה( )שב","K16","1","1","178","71","code_absent_no_name_candidate","","","","unreviewed","","","",""
"3758","גנים","גנים","K16","1","1","117","67","code_absent_no_name_candidate","","","","unreviewed","","","",""
"5407","מורג","מורג","K16","1","1","70","63","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","נעמי","נעמי","K17","1","1","","56","needs_research","","","","unreviewed","","","",""
"","ח'ואלד (שבט)","ח'ואלד (שבט)","K17","1","1","","55","needs_research","","","","unreviewed","","","",""
"3729","כדים","כדים","K16","1","1","93","52","code_absent_no_name_candidate","","","","unreviewed","","","",""
"5433","רפיח ים","רפיח ים","K16","1","1","76","50","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","ג'נאביב (שבט)","ג'נאביב (שבט)","K17","1","1","","45","needs_research","","","","unreviewed","","","",""
"5436","פאת שדה","פאת שדה","K16","1","1","57","44","code_absent_no_name_candidate","","","","unreviewed","","","",""
"","סואעד (כמאנה) (שב","סואעד (כמאנה) (שב","K17","1","1","","40","needs_research","","","","unreviewed","","","",""
"","נירן","נירן","K17","1","1","","36","needs_research","","","","unreviewed","","","",""
"","סוואעד חמיירה","סוואעד חמיירה","K17","1","1","","33","needs_research","","","","unreviewed","","","",""
"","נצאצרה (שבט)","נצאצרה (שבט)","K17","1","1","","29","needs_research","","","","unreviewed","","","",""
"1404","חצרות יסף","חצרות יסף","K16","1","1","112","27","code_absent_no_name_candidate","","","","unreviewed","","","",""
