source_identity,solution,geometry_target,custom_geography_id
אשדות יעקב (איחו,accepted_locality_match,אשדות יעקב (איחוד),
חמד,accepted_locality_match,"חמ""ד",
פוריה עילית,accepted_locality_match,פורייה עילית,
צפריה,accepted_locality_match,צפרייה,
הודיה,accepted_locality_match,הודייה,
מחנה עדי [1417],special_non_geographic,special:envelope_votes,
אשדות יעקב (מאוח,accepted_locality_match,אשדות יעקב (מאוחד),
אילניה,accepted_locality_match,אילנייה,
ח'ואלד )שבט( [986],custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
שושנת העמקים (רסק,accepted_locality_match,שושנת העמקים,
חברון,custom_point_size_polygon,custom:hebron,custom:hebron
אטרש (שבט),custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
קרית ענבים,accepted_locality_match,קריית ענבים,
אלי סיני [5428],custom_point_size_polygon,custom:gaza_evacuated_localities,custom:gaza_evacuated_localities
כרמיה,accepted_locality_match,כרמייה,
מלכיה,accepted_locality_match,מלכייה,
מעין ברוך,accepted_locality_match,מעיין ברוך,
בני עצמון [5425],custom_point_size_polygon,custom:gaza_evacuated_localities,custom:gaza_evacuated_localities
קרית נטפים,accepted_locality_match,קריית נטפים,
אל-רום,accepted_locality_match,אל -רום,
ניצנה (קהילת חינו,accepted_locality_match,ניצנה (קהילת חינוך),
קבועה (שבט),custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
גדיד [5429],custom_point_size_polygon,custom:gaza_evacuated_localities,custom:gaza_evacuated_localities
קוואעין (שבט),custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
גן אור [5431],custom_point_size_polygon,custom:gaza_evacuated_localities,custom:gaza_evacuated_localities
קטיף [5423],custom_point_size_polygon,custom:gaza_evacuated_localities,custom:gaza_evacuated_localities
תושיה,accepted_locality_match,תושייה,
פוריה - כפר עבודה,accepted_locality_match,פורייה - כפר עבודה,
כפר דרום [5405],custom_point_size_polygon,custom:gaza_evacuated_localities,custom:gaza_evacuated_localities
מחנה יפה,special_non_geographic,special:envelope_votes,
מחנה תל נוף,special_non_geographic,special:envelope_votes,
נצרים [5408],custom_point_size_polygon,custom:gaza_evacuated_localities,custom:gaza_evacuated_localities
כפר רוזנואלד (זרע,accepted_locality_match,כפר רוזנואלד (זרעית),
עוקבי (בנו עוקבה),custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
הוזייל (שבט),custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
אבו ג'ווייעד (שבט,custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
אסד (שבט),custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
בדולח [5432],custom_point_size_polygon,custom:gaza_evacuated_localities,custom:gaza_evacuated_localities
חומש [3642],custom_point_size_polygon,custom:northern_samaria_evacuated_localities,custom:northern_samaria_evacuated_localities
מחנה טלי,special_non_geographic,special:envelope_votes,
תראבין א-צאנע (שב,custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
עטאוונה (שבט),custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
סואעד )כמאנה( )שב [989],accepted_locality_match,כמאנה,
גנים [3758],custom_point_size_polygon,custom:northern_samaria_evacuated_localities,custom:northern_samaria_evacuated_localities
מורג [5407],custom_point_size_polygon,custom:gaza_evacuated_localities,custom:gaza_evacuated_localities
נעמי,accepted_locality_match,"נעמ""ה",
ח'ואלד (שבט),custom_point_size_polygon,custom:tribal_negev,custom:tribal_negev
