source_row_uid,election,election_number,source_row_id,source_order,source_locality_code,source_locality_name,source_kalpi,eligible_voters,actual_voters,valid_votes,invalid_votes,is_envelope,אמת,ג,ד,ה,ו,ז,זה,זך,חץ,טב,יש,כ,כן,כץ,ל,מחל,מרצ,נץ,עם,פ,פז,פכ,פץ,ף,צה,ק,קז,קנ,קפ,רק,שס,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,locality_assignment_status,locality_geography_type,locality_geography_id,locality_result_code,locality_result_name,is_locality_mapped,custom_geography_id,is_mapped,is_geographic,final_assignment_method,final_assignment_source,assignment_evidence_class,assignment_confidence,assignment_is_synthetic_link,unresolved_reason
K17:4730,K17,17,4730,4730,,תל אביב - יפו,4490,689,316,316,0,False,77,2,0,0,0,0,1,39,1,4,0,2,69,0,12,12,46,0,0,2,0,0,1,0,0,2,1,22,0,20,3,official_crosswalk_assigned,statistical_area,stat1995:5000512,stat1995:5000512,1995,5000512,512,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
K17:4731,K17,17,4731,4731,,תל אביב - יפו,4510,533,254,252,2,False,45,4,1,0,6,0,0,33,1,7,1,1,64,0,12,15,43,0,0,0,0,0,0,1,0,1,0,5,0,10,2,official_crosswalk_assigned,statistical_area,stat1995:5000512,stat1995:5000512,1995,5000512,512,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
K17:4732,K17,17,4732,4732,,תל אביב - יפו,4520,574,262,259,3,False,56,3,0,0,1,0,1,39,1,5,1,2,60,0,4,31,24,0,1,5,0,0,1,0,0,0,2,8,0,5,9,official_crosswalk_assigned,statistical_area,stat1995:5000512,stat1995:5000512,1995,5000512,512,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
K17:4733,K17,17,4733,4733,,תל אביב - יפו,4530,767,236,234,2,False,51,1,1,0,0,0,0,16,1,7,1,0,66,0,17,18,16,0,0,1,0,0,0,0,0,1,0,13,0,17,7,official_crosswalk_assigned,statistical_area,stat1995:5000511,stat1995:5000511,1995,5000511,511,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
K17:4734,K17,17,4734,4734,,תל אביב - יפו,4540,518,264,261,3,False,45,0,0,0,4,0,0,29,0,7,1,0,62,0,10,22,48,0,0,2,1,0,0,0,0,0,0,9,0,12,9,official_crosswalk_assigned,statistical_area,stat1995:5000512,stat1995:5000512,1995,5000512,512,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
K17:4735,K17,17,4735,4735,,תל אביב - יפו,4550,682,206,205,1,False,53,2,0,0,3,0,0,22,0,8,0,0,51,0,11,13,23,0,0,0,0,0,0,0,0,2,0,5,0,7,5,official_crosswalk_assigned,statistical_area,stat1995:5000511,stat1995:5000511,1995,5000511,511,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
K17:4736,K17,17,4736,4736,,תל אביב - יפו,4570,795,459,458,1,False,119,4,3,0,14,0,0,47,0,11,0,2,92,0,12,23,69,0,0,0,0,0,0,0,0,0,1,21,0,27,13,official_crosswalk_assigned,statistical_area,stat1995:5000513,stat1995:5000513,1995,5000513,513,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
K17:4737,K17,17,4737,4737,,תל אביב - יפו,4720,439,198,194,4,False,42,2,0,0,3,0,0,23,1,6,0,0,40,0,5,19,24,0,0,0,2,0,0,0,0,0,0,11,0,9,7,official_crosswalk_assigned,statistical_area,stat1995:5000543,stat1995:5000543,1995,5000543,543,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
K17:4738,K17,17,4738,4738,,תל אביב - יפו,4730,155,58,58,0,False,14,0,0,0,1,0,0,7,0,0,0,1,12,0,1,3,9,0,0,0,0,0,0,0,0,0,0,2,0,2,6,official_crosswalk_assigned,statistical_area,stat1995:5000542,stat1995:5000542,1995,5000542,542,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
K17:4739,K17,17,4739,4739,,תל אביב - יפו,4740,438,268,265,3,False,63,8,1,0,3,0,0,26,3,4,1,0,66,0,15,19,32,0,1,2,0,0,0,0,0,1,0,12,0,6,2,official_crosswalk_assigned,statistical_area,stat1995:5000543,stat1995:5000543,1995,5000543,543,loc:5000,5000,תל אביב-יפו,current_locality_assigned,locality,loc:5000,5000,תל אביב -יפו,True,,True,True,official_cbs_ballot_crosswalk_k17_tenths_encoding,k17_ballot_to_stat1995.xls,official_direct_crosswalk,authoritative,False,
