geography_id,geography_type,geography_package,geometry_archive,stat_area_id,stat_area_vintage,yishuv_stat,locality_id,locality_code,locality_name_he,locality_name_en,stat_area_number,geometry_source,display_geometry_source
stat2011:11390014,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11390014,2011,11390014,loc:1139,1139,כרמיאל,KARMI'EL,14,official_cbs,official_cbs
stat2011:11390021,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11390021,2011,11390021,loc:1139,1139,כרמיאל,KARMI'EL,21,official_cbs,official_cbs
stat2011:11390022,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11390022,2011,11390022,loc:1139,1139,כרמיאל,KARMI'EL,22,official_cbs,official_cbs
stat2011:11390023,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11390023,2011,11390023,loc:1139,1139,כרמיאל,KARMI'EL,23,official_cbs,official_cbs
stat2011:11390024,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11390024,2011,11390024,loc:1139,1139,כרמיאל,KARMI'EL,24,official_cbs,official_cbs
stat2011:11390031,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11390031,2011,11390031,loc:1139,1139,כרמיאל,KARMI'EL,31,official_cbs,official_cbs
stat2011:11390032,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11390032,2011,11390032,loc:1139,1139,כרמיאל,KARMI'EL,32,official_cbs,official_cbs
stat2011:11390033,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11390033,2011,11390033,loc:1139,1139,כרמיאל,KARMI'EL,33,official_cbs,official_cbs
stat2011:11390034,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11390034,2011,11390034,loc:1139,1139,כרמיאל,KARMI'EL,34,official_cbs,official_cbs
stat2011:11390035,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11390035,2011,11390035,loc:1139,1139,כרמיאל,KARMI'EL,35,official_cbs,official_cbs
stat2011:11400001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11400001,2011,11400001,loc:1140,1140,מדרשת בן גוריון,MIDRESHET BEN GURION,1,official_cbs,official_cbs
stat2011:11410001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11410001,2011,11410001,loc:1141,1141,מבוא מודיעים,MEVO MODI'IM,1,official_cbs,official_cbs
stat2011:11430001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11430001,2011,11430001,loc:1143,1143,נס עמים,NES AMMIM,1,official_cbs,official_cbs
stat2011:11440001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11440001,2011,11440001,loc:1144,1144,ידידה,YEDIDA,1,official_cbs,official_cbs
stat2011:11450001,statistical_area,statistical_areas_2011,geographies/statistical_areas_2011.zip,stat2011:11450001,2011,11450001,loc:1145,1145,אלומה,ALUMMA,1,official_cbs,official_cbs
