geography_id,geography_type,geography_package,geometry_archive,locality_code,locality_name_he,locality_name_en,stat_2022,yishuv_stat_2022,ROVA,TAT_ROVA,COD_TIFKUD,Shape_Length,Shape_Area,locality_id,stat_area_id
stat2022:4300001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,430,בית לחם הגלילית,BET LEHEM HAGELILIT,1.0,4300001,,,1.0,7456.184388957938,2334303.6052013678,loc:430,stat2022:4300001
stat2022:4310001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,431,דלתון,DALTON,1.0,4310001,,,1.0,7263.007125263982,923268.1020930237,loc:431,stat2022:4310001
stat2022:4320001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,432,שמרת,SHAMERAT,1.0,4320001,,,1.0,4383.423741463153,863541.708873987,loc:432,stat2022:4320001
stat2022:4330001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,433,נחשולים,NAHSHOLIM,1.0,4330001,,,1.0,3421.828759706089,446639.4385119781,loc:433,stat2022:4330001
stat2022:4340001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,434,החותרים,HAHOTERIM,1.0,4340001,,,1.0,2944.1430183048574,405717.3458238039,loc:434,stat2022:4340001
stat2022:4350001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,435,נצר סרני,NEZER SERENI,1.0,4350001,,,1.0,3746.746912935293,666159.5229665522,loc:435,stat2022:4350001
stat2022:4360001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,436,עין דור,EN DOR,1.0,4360001,,,1.0,3665.67889621165,606127.8456958309,loc:436,stat2022:4360001
stat2022:4370001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,437,רשפים,RESHAFIM,1.0,4370001,,,1.0,3854.098160111162,713405.7540827882,loc:437,stat2022:4370001
stat2022:4390001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,439,שלוחות,SHELUHOT,1.0,4390001,,,1.0,3080.5508743187293,442795.1514047599,loc:439,stat2022:4390001
stat2022:4400001,statistical_area,statistical_areas_2022,geographies/statistical_areas_2022.zip,440,יסודות,YESODOT,1.0,4400001,,,1.0,3563.9997174586865,717302.0689421386,loc:440,stat2022:4400001
