source_row_uid,election,source_row_id,source_locality_code,source_locality_name,source_kalpi,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,custom_geography_id,final_assignment_method,final_assignment_source,eligible_voters,actual_voters,valid_votes,invalid_votes,אמת,ג,ודעם,ז,זכ,זן,זץ,טב,י,יז,ינ,יף,יק,כ,כי,כף,ל,מחל,מרצ,נ,נך,נץ,פה,ףז,צ,צן,ץ,ק,קך,קץ,רק,שס,unresolved_reason
K22:1065,K22,1065,6000,באקה אל-גרביה,12,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,649,359,352,7,1,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,8,0,0,1,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:1066,K22,1066,6000,באקה אל-גרביה,13,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,678,385,377,8,2,0,347,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,13,0,0,0,7,0,0,0,1,0,0,0,0,2,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:1067,K22,1067,6000,באקה אל-גרביה,14,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,621,391,388,3,2,0,365,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11,0,0,0,5,0,0,0,0,0,0,0,0,3,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:1068,K22,1068,6000,באקה אל-גרביה,15,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,631,330,325,5,3,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,1,0,0,2,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:1069,K22,1069,6000,באקה אל-גרביה,16,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,646,406,403,3,0,1,380,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,8,0,0,0,9,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:1070,K22,1070,6000,באקה אל-גרביה,17,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,626,365,361,4,2,0,337,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,13,0,0,0,3,0,0,0,0,1,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:1071,K22,1071,6000,באקה אל-גרביה,18,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,611,345,342,3,1,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,5,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:1072,K22,1072,6000,באקה אל-גרביה,19,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,684,400,397,3,0,0,379,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,7,0,0,0,6,0,0,0,0,1,1,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:1073,K22,1073,6000,באקה אל-גרביה,20,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,604,298,296,2,2,0,281,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0,0,0,6,0,0,0,0,0,0,1,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K22:1074,K22,1074,6000,באקה אל-גרביה,21,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,automatic_code_match,612,327,324,3,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
