source_row_uid,election,source_row_id,source_locality_code,source_locality_name,source_kalpi,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,custom_geography_id,final_assignment_method,final_assignment_source,eligible_voters,actual_voters,valid_votes,invalid_votes,אמת,אר,ב,ג,ד,ה,ו,זך,חי,ט,ים,ינ,יק,כן,ל,מחל,מרצ,נ,נפ,נץ,נר,עם,פ,פח,פי,פק,ץ,צי,ק,קנ,קפ,קץ,רק,שס,unresolved_reason
K18:898,K18,898,6000,באקה-ג'ת,11,no_direct_historical_assignment,statistical_area_pending,,,,,,,,באקה אל-גרביה | ג'ת,,historical_stat_area_pending,reviewed_historical_target_set,571,249,249,0,4,0,0,0,98,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,143,0,0,0,0,1,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:899,K18,899,6000,באקה-ג'ת,12,no_direct_historical_assignment,statistical_area_pending,,,,,,,,באקה אל-גרביה | ג'ת,,historical_stat_area_pending,reviewed_historical_target_set,621,324,318,6,37,1,0,1,114,0,14,0,0,0,1,0,0,0,0,1,2,0,0,0,0,142,0,0,0,0,1,1,2,0,0,1,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:900,K18,900,6000,באקה-ג'ת,13,no_direct_historical_assignment,statistical_area_pending,,,,,,,,באקה אל-גרביה | ג'ת,,historical_stat_area_pending,reviewed_historical_target_set,598,280,275,5,22,0,0,0,108,0,13,0,0,1,1,0,1,0,0,0,1,0,0,0,0,127,0,0,0,0,0,0,0,0,0,1,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:901,K18,901,6000,באקה-ג'ת,14,no_direct_historical_assignment,statistical_area_pending,,,,,,,,באקה אל-גרביה | ג'ת,,historical_stat_area_pending,reviewed_historical_target_set,602,301,293,8,30,0,0,0,111,0,15,1,0,2,0,0,0,0,0,2,1,0,0,0,0,129,0,0,1,0,0,0,0,0,0,1,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:902,K18,902,6000,באקה-ג'ת,15,no_direct_historical_assignment,statistical_area_pending,,,,,,,,באקה אל-גרביה | ג'ת,,historical_stat_area_pending,reviewed_historical_target_set,568,290,287,3,17,0,0,0,103,0,13,0,0,1,1,0,0,3,0,1,3,0,0,0,0,142,0,0,0,0,0,0,2,0,1,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:903,K18,903,6000,באקה-ג'ת,16,no_direct_historical_assignment,statistical_area_pending,,,,,,,,באקה אל-גרביה | ג'ת,,historical_stat_area_pending,reviewed_historical_target_set,581,344,340,4,7,0,0,0,138,1,14,0,0,1,0,0,0,1,0,0,2,0,0,0,0,170,0,0,0,1,1,1,2,0,1,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:904,K18,904,6000,באקה-ג'ת,17,no_direct_historical_assignment,statistical_area_pending,,,,,,,,באקה אל-גרביה | ג'ת,,historical_stat_area_pending,reviewed_historical_target_set,646,361,354,7,10,0,0,0,161,0,15,0,1,0,0,0,0,0,0,1,1,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:905,K18,905,6000,באקה-ג'ת,18,no_direct_historical_assignment,statistical_area_pending,,,,,,,,באקה אל-גרביה | ג'ת,,historical_stat_area_pending,reviewed_historical_target_set,642,327,324,3,16,0,0,0,134,0,12,0,1,0,0,0,0,0,0,0,1,0,0,1,0,155,0,0,0,1,0,1,2,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:906,K18,906,6000,באקה-ג'ת,19,no_direct_historical_assignment,statistical_area_pending,,,,,,,,באקה אל-גרביה | ג'ת,,historical_stat_area_pending,reviewed_historical_target_set,642,333,324,9,6,0,0,0,142,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,1,1,0,0,0,0,0,1,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K18:907,K18,907,6000,באקה-ג'ת,20,no_direct_historical_assignment,statistical_area_pending,,,,,,,6000,באקה אל-גרביה,,historical_stat_area_pending,reviewed_component_locality_override,639,337,332,5,20,0,0,0,132,0,23,0,0,2,0,0,0,1,0,0,1,0,0,0,0,152,1,0,0,0,0,0,0,0,0,0,0,0,no official ballot crosswalk row and locality is not uniquely one historical statistical area
