source_row_uid,election,source_row_id,source_locality_code,source_locality_name,source_kalpi,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,custom_geography_id,final_assignment_method,final_assignment_source,eligible_voters,actual_voters,valid_votes,invalid_votes,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס,address_match_status,address_query,unresolved_reason
K20:115,K20,115,2710,אום אל-פחם,35,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,588,320,318,2,1,0,312,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:116,K20,116,2710,אום אל-פחם,36,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,544,387,384,3,1,0,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:117,K20,117,2710,אום אל-פחם,37,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,716,437,436,1,1,0,425,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:118,K20,118,2710,אום אל-פחם,39,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,546,393,387,6,1,0,359,1,0,0,0,0,0,0,0,1,0,1,24,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:119,K20,119,2710,אום אל-פחם,41,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,508,302,300,2,1,0,291,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:120,K20,120,2710,אום אל-פחם,42,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,506,388,388,0,0,0,373,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:121,K20,121,2710,אום אל-פחם,43,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,520,348,345,3,1,0,311,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,1,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:122,K20,122,2710,אום אל-פחם,44,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,542,320,319,1,0,0,315,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:123,K20,123,2710,אום אל-פחם,45,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,634,388,383,5,0,0,376,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,1,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:124,K20,124,2710,אום אל-פחם,46,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,504,325,321,4,1,0,312,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:125,K20,125,2710,אום אל-פחם,47,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,637,420,416,4,0,0,411,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:126,K20,126,2710,אום אל-פחם,48,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,595,492,488,4,0,0,454,0,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:127,K20,127,2710,אום אל-פחם,49,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,510,376,374,2,0,0,357,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,11,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:128,K20,128,2710,אום אל-פחם,50,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,583,405,404,1,0,1,392,1,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,1,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:129,K20,129,2710,אום אל-פחם,51,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,572,348,345,3,0,0,341,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:130,K20,130,2710,אום אל-פחם,52,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,680,443,441,2,2,1,426,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,0,0,0,0,1,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:131,K20,131,2710,אום אל-פחם,53,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,693,448,440,8,2,0,430,1,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:132,K20,132,2710,אום אל-פחם,54,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,2710,אום אל-פחם,,direct_address_geocode_needed,automatic_code_match,666,441,427,14,0,0,424,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:379,K20,379,478,אכסאל,1,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,674,435,429,6,3,0,411,0,1,0,0,0,0,0,1,0,0,1,8,0,0,0,1,1,0,0,0,0,0,2,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:380,K20,380,478,אכסאל,2,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,681,441,439,2,2,0,417,0,0,0,0,0,0,0,0,0,0,4,8,0,0,1,2,1,0,0,0,0,0,4,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:381,K20,381,478,אכסאל,3,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,584,346,345,1,1,0,329,0,0,0,2,0,1,0,0,0,0,7,0,0,0,0,1,0,0,1,0,0,1,2,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:382,K20,382,478,אכסאל,4,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,575,356,355,1,3,0,340,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,1,0,0,0,2,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:383,K20,383,478,אכסאל,5,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,651,450,445,5,2,0,427,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,3,0,0,0,0,0,0,3,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:384,K20,384,478,אכסאל,6,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,660,445,440,5,1,0,416,0,0,0,0,0,0,0,0,0,0,7,4,0,1,0,6,0,0,0,0,0,0,5,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:385,K20,385,478,אכסאל,7,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,585,408,407,1,2,0,388,0,0,0,1,0,0,0,0,1,0,6,4,0,0,0,0,0,0,0,0,0,0,5,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:386,K20,386,478,אכסאל,8,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,554,371,369,2,5,2,339,0,0,0,0,0,0,0,0,0,1,3,6,0,0,0,8,1,0,0,0,0,0,4,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
K20:387,K20,387,478,אכסאל,9,no_direct_historical_assignment,statistical_area_pending_geocode,,,,,,,478,אכסאל,,direct_address_geocode_needed,automatic_code_match,658,453,452,1,3,0,436,0,0,0,0,0,0,0,0,0,0,1,4,1,0,1,3,0,0,0,1,0,0,2,,,no official ballot crosswalk row and locality is not uniquely one historical statistical area
