source_row_uid,election,source_row_id,source_locality_code,source_locality_name,source_kalpi,geography_assignment_status,geography_type,geography_id,stat_area_id,stat_area_vintage,stat_area_yishuv_stat,stat_area_number,locality_id,locality_code,locality_name,custom_geography_id,final_assignment_method,final_assignment_source,eligible_voters,actual_voters,valid_votes,invalid_votes,אמת,ג,ד,ה,ו,ז,זה,זך,חץ,טב,יש,כ,כן,כץ,ל,מחל,מרצ,נץ,עם,פ,פז,פכ,פץ,ף,צה,ק,קז,קנ,קפ,רק,שס,unresolved_reason
K17:118,K17,118,,מעטפות כפולות,2180,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,995,988,7,125,20,11,1,7,0,3,38,2,76,8,12,248,0,79,96,63,1,12,14,0,0,0,1,1,2,1,59,2,34,72,Non-geographic row is counted but not mapped
K17:119,K17,119,,מעטפות כפולות,2190,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1191,1169,22,140,9,1,1,4,1,4,63,6,100,2,13,307,0,101,126,58,2,1,10,0,1,0,0,0,1,4,58,1,54,101,Non-geographic row is counted but not mapped
K17:120,K17,120,,מעטפות כפולות,2200,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1200,1181,19,160,5,0,1,0,1,9,33,4,150,3,14,305,0,118,111,59,2,2,15,0,0,2,1,1,0,1,63,1,48,72,Non-geographic row is counted but not mapped
K17:121,K17,121,,מעטפות כפולות,2210,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1204,1184,20,161,15,9,0,9,0,6,37,6,150,3,8,227,0,116,122,61,1,17,11,3,0,2,0,0,5,4,57,2,38,114,Non-geographic row is counted but not mapped
K17:122,K17,122,,מעטפות כפולות,2220,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,605,596,9,86,11,1,0,2,0,3,40,0,71,2,6,158,1,49,59,25,2,0,6,0,2,0,0,0,0,2,27,0,14,29,Non-geographic row is counted but not mapped
K17:123,K17,123,,מעטפות כפולות,2230,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,604,589,15,78,4,7,0,1,0,2,24,4,50,2,5,145,0,56,67,36,0,6,9,0,0,0,0,0,0,2,32,0,25,34,Non-geographic row is counted but not mapped
K17:124,K17,124,,מעטפות כפולות,2240,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,807,789,18,104,3,0,0,0,0,3,36,2,71,1,3,255,0,55,72,51,1,0,14,0,0,1,0,1,0,1,40,0,35,40,Non-geographic row is counted but not mapped
K17:125,K17,125,,מעטפות כפולות,2250,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,602,591,11,96,8,1,2,0,2,4,29,2,51,1,5,151,0,46,66,26,2,1,7,0,1,2,0,1,0,2,22,0,22,41,Non-geographic row is counted but not mapped
K17:126,K17,126,,מעטפות כפולות,2260,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,578,546,32,68,5,3,0,3,0,2,22,1,38,1,2,177,0,46,55,37,0,8,3,0,0,0,1,0,0,0,18,0,28,28,Non-geographic row is counted but not mapped
K17:127,K17,127,,מעטפות כפולות,2270,official_envelope,official_envelope,special:envelope_votes,,,,,,,,special:envelope_votes,official_envelope,envelope_detection,0,1205,1188,17,147,13,2,1,2,1,3,55,5,102,2,6,346,1,104,126,69,0,2,8,0,3,0,1,2,0,0,64,0,50,73,Non-geographic row is counted but not mapped
